date	followers	following	medias
2018-09-17 22:38:18	4180	412	269
2018-09-17 23:38:18	4180	412	269
2018-09-18 00:38:18	4179	407	269
2018-09-18 01:38:19	4177	407	269
2018-09-18 03:27:27	4178	407	269
2018-09-18 04:27:28	4178	407	269
2018-09-18 05:27:28	4177	407	269
2018-09-18 06:27:28	4178	407	269
2018-09-18 07:27:29	4178	407	269
2018-09-18 08:27:29	4178	407	269
2018-09-18 09:27:29	4178	407	269
2018-09-18 10:27:30	4178	407	269
2018-09-18 11:27:30	4178	407	269
2018-09-18 12:27:30	4181	407	270
2018-09-18 13:27:31	4182	407	270
2018-09-18 14:27:31	4182	407	270
2018-09-18 15:27:31	4183	408	271
2018-09-18 16:27:32	4183	408	271
2018-09-18 17:27:32	4181	408	271
2018-09-18 18:27:33	4181	408	271
2018-09-18 19:27:33	4181	408	271
2018-09-18 20:27:33	4182	408	271
2018-09-18 21:27:34	4183	408	271
2018-09-18 22:27:34	4182	408	271
2018-09-18 23:27:34	4182	408	271
2018-09-19 00:27:35	4182	408	271
2018-09-19 01:27:35	4182	408	271
2018-09-19 02:27:36	4182	408	271
2018-09-19 03:27:36	4181	409	271
2018-09-19 05:53:08	4677	1643	866
2018-09-19 05:53:13	4181	409	271
2018-09-19 06:53:10	4181	409	271
2018-09-19 07:53:10	4181	409	271
2018-09-19 08:53:11	4181	409	271
2018-09-19 09:53:11	4183	409	271
2018-09-19 10:53:11	4184	409	271
2018-09-19 11:53:12	4186	409	271
2018-09-19 12:53:12	4185	409	271
2018-09-19 13:53:13	4185	409	271
2018-09-19 15:17:26	4185	410	271
2018-09-19 15:54:32	4185	410	272
2018-09-19 16:54:32	4186	410	272
2018-09-19 17:54:32	4187	410	272
2018-09-19 18:54:33	4186	410	272
2018-09-19 19:54:33	4186	410	272
2018-09-19 20:54:33	4186	410	272
2018-09-19 21:54:33	4187	410	272
2018-09-19 22:54:34	4188	410	272
2018-09-19 23:54:35	4188	410	272
2018-09-20 00:54:35	4188	407	272
2018-09-20 01:54:35	4189	407	272
2018-09-20 02:54:36	4189	407	272
2018-09-20 03:54:36	4189	407	272
2018-09-20 04:54:37	4188	407	272
2018-09-20 05:54:37	4187	407	272
2018-09-20 06:54:37	4188	407	272
2018-09-20 07:54:38	4188	407	272
2018-09-20 08:54:38	4188	407	272
2018-09-20 09:54:39	4190	407	272
2018-09-20 10:54:39	4191	407	272
2018-09-20 11:54:39	4191	407	272
2018-09-20 12:54:39	4195	407	272
